Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 11, 2019",3.6,3.84,3.59,3.81,"199,495,756","727,362,979"
"Dec 10, 2019",3.7,3.73,3.55,3.6,"207,259,326","686,204,619"
"Dec 9, 2019",3.95,3.97,3.68,3.71,"216,632,529","706,522,307"
"Dec 8, 2019",3.81,4,3.74,3.95,"201,085,483","752,311,274"
"Dec 7, 2019",3.67,3.88,3.66,3.81,"197,409,951","725,664,435"
"Dec 6, 2019",3.52,3.69,3.51,3.67,"182,348,856","699,673,035"
"Dec 5, 2019",3.59,3.72,3.49,3.53,"181,266,106","673,233,028"
"Dec 4, 2019",3.69,3.74,3.46,3.6,"188,222,589","686,314,900"
"Dec 3, 2019",3.68,3.8,3.65,3.7,"144,705,352","705,977,051"
"Dec 2, 2019",3.79,3.93,3.62,3.68,"151,160,801","702,017,417"
"Dec 1, 2019",3.92,3.93,3.66,3.81,"175,883,739","726,017,955"
"Nov 30, 2019",4.02,4.1,3.83,3.93,"160,886,605","748,553,792"
"Nov 29, 2019",3.69,4.06,3.68,4.01,"183,110,184","765,177,996"
"Nov 28, 2019",3.58,3.79,3.53,3.69,"145,107,303","703,065,720"
"Nov 27, 2019",3.5,3.76,3.31,3.58,"179,601,320","683,546,815"
"Nov 26, 2019",3.41,3.66,3.39,3.51,"166,612,606","669,041,544"
"Nov 25, 2019",3.06,3.53,3,3.41,"184,025,705","650,377,013"
"Nov 24, 2019",3.26,3.27,3.03,3.06,"267,084,994","582,795,477"
"Nov 23, 2019",2.94,3.26,2.87,3.25,"235,663,023","620,624,399"
"Nov 22, 2019",3.2,3.3,2.68,2.94,"165,875,702","561,156,547"
"Nov 21, 2019",3.35,3.43,3.13,3.2,"150,359,200","609,810,312"
"Nov 20, 2019",3.53,3.62,3.34,3.35,"136,161,478","638,110,659"
"Nov 19, 2019",3.63,3.69,3.37,3.53,"138,483,758","672,655,150"
"Nov 18, 2019",3.92,3.93,3.58,3.63,"148,746,229","692,125,580"
"Nov 17, 2019",3.99,4,3.85,3.92,"119,429,121","748,307,219"
"Nov 16, 2019",3.93,4,3.88,3.99,"120,766,065","760,419,950"
"Nov 15, 2019",4.02,4.14,3.86,3.93,"159,604,699","748,906,249"
