Date,Open*,High,Low,Close**,Volume,Market Cap
"Nov 24, 2018",207.66,217.04,177.23,180.69,"97,740,700","3,157,626,102"
"Nov 23, 2018",210.42,212.46,196.52,207.43,"103,947,000","3,624,574,888"
"Nov 22, 2018",236.21,239,211.47,211.47,"59,981,900","3,694,885,203"
"Nov 21, 2018",226.38,246.67,221.19,235.95,"80,873,000","4,122,235,034"
"Nov 20, 2018",336.31,336.5,199.09,223.7,"142,641,000","3,907,841,849"
"Nov 19, 2018",383.63,415.15,336.96,336.96,"107,950,000","5,885,744,615"
"Nov 18, 2018",387.64,412.87,380.02,386.25,"275,157,000","6,746,074,650"
"Nov 17, 2018",389.5,394.38,380.35,387.75,"356,307,000","6,771,541,905"
"Nov 16, 2018",421.2,423.43,388.82,388.82,"502,805,000","6,789,652,604"
"Nov 15, 2018",439.96,453.62,403.75,421.32,"979,243,000","7,356,352,530"
"Nov 14, 2018",511.63,525.27,421.2,439.31,"1,167,480,000","7,669,576,348"
"Nov 13, 2018",514.58,542.68,504.8,512.41,"972,530,000","8,945,077,319"
"Nov 12, 2018",533.57,536.9,502.73,516.31,"951,132,000","9,012,099,962"
"Nov 11, 2018",555.78,555.78,517.66,533.34,"693,990,000","9,308,507,141"
"Nov 10, 2018",542.88,562.91,535.79,556.5,"656,843,000","9,711,658,824"
"Nov 09, 2018",574.01,594.8,532.76,544.42,"860,474,000","9,499,852,951"
"Nov 08, 2018",616.53,619.16,573.9,574.43,"824,619,000","10,022,537,741"
"Nov 07, 2018",630.18,638.55,610.34,617.26,"935,156,000","10,768,569,005"
"Nov 06, 2018",558.55,628.51,551.29,628.51,"958,116,000","10,797,299,033"
"Nov 05, 2018",557.72,578.23,538.86,558.47,"907,963,000","9,740,952,454"
"Nov 04, 2018",478.54,586.04,478.51,560.18,"1,452,890,000","9,769,871,612"
"Nov 03, 2018",461.77,483.67,458.54,477.99,"470,238,000","8,335,552,143"
"Nov 02, 2018",424.24,469.88,424.24,462.01,"524,499,000","8,055,935,542"
"Nov 01, 2018",423.07,432.58,421.83,424.09,"228,640,000","7,393,934,934"
"Oct 31, 2018",422.23,424.62,411.52,422.86,"286,666,000","7,371,737,947"
"Oct 30, 2018",417.69,422.97,415.21,421.93,"243,462,000","7,354,852,860"
"Oct 29, 2018",440.21,440.9,414.61,417.57,"294,419,000","7,278,038,086"
"Oct 28, 2018",438.89,442.23,436.09,441.08,"226,911,000","7,687,035,518"
"Oct 27, 2018",438.6,439.82,435.83,437.53,"235,687,000","7,624,285,342"
"Oct 26, 2018",439.12,441.53,436.15,438.74,"259,970,000","7,644,644,150"
"Oct 25, 2018",442.18,443.58,439.15,440.23,"226,378,000","7,669,884,250"
"Oct 24, 2018",441.27,448.18,440.65,442.45,"249,002,000","7,707,652,665"
"Oct 23, 2018",447.17,449.79,438.25,442.66,"262,509,000","7,710,485,715"
"Oct 22, 2018",447.19,452.53,443.6,447.21,"261,566,000","7,789,079,577"
"Oct 21, 2018",447.54,455.96,445.77,447.85,"295,702,000","7,799,358,754"
"Oct 20, 2018",440.87,448.48,438.45,447.45,"266,812,000","7,791,561,135"
"Oct 19, 2018",438.31,443.43,433.38,440.85,"303,766,000","7,675,834,214"
"Oct 18, 2018",449.22,454.71,432.93,438.43,"327,540,000","7,632,886,085"
"Oct 17, 2018",458.85,459.87,446.29,448.79,"292,950,000","7,812,582,934"
"Oct 16, 2018",459.32,467.17,454.6,458.01,"302,192,000","7,972,225,574"
"Oct 15, 2018",438.65,487.21,433.82,459.38,"571,575,000","7,995,239,192"
"Oct 14, 2018",448.19,451.92,438.6,439.23,"242,400,000","7,643,835,570"
"Oct 13, 2018",443.18,450.22,442.66,448.41,"245,372,000","7,802,698,333"
"Oct 12, 2018",430.35,451.93,429.39,443.23,"289,722,000","7,711,708,129"
"Oct 11, 2018",511.77,511.77,431.85,433.04,"487,652,000","7,533,647,535"
"Oct 10, 2018",516.66,517.22,507.83,512.92,"369,806,000","8,922,601,500"
"Oct 09, 2018",526.91,528.55,513.12,517.79,"372,000,000","9,006,258,034"
"Oct 08, 2018",518.71,530.92,517.33,528.98,"397,869,000","9,199,873,690"
"Oct 07, 2018",509.63,519.39,506.65,517.47,"382,426,000","8,998,846,140"
"Oct 06, 2018",519.92,521.68,502.54,508.62,"391,070,000","8,844,170,277"
"Oct 05, 2018",513.9,522.51,510.63,520.63,"384,914,000","9,052,044,226"
"Oct 04, 2018",516.79,529.94,510.59,513.03,"466,791,000","8,918,891,880"
"Oct 03, 2018",531.64,531.64,508.73,514.53,"512,420,000","8,943,917,328"
"Oct 02, 2018",531.15,547.49,527.92,533.27,"536,291,000","9,268,718,960"
"Oct 01, 2018",531.64,539.95,522.32,530.91,"450,906,000","9,226,907,044"
"Sep 30, 2018",536.56,545.55,520.61,529.93,"477,471,000","9,208,784,936"
"Sep 29, 2018",538.99,553.48,514.26,536.91,"581,112,000","9,329,262,107"
"Sep 28, 2018",568.43,572.58,533.44,539.86,"673,844,000","9,379,539,272"
"Sep 27, 2018",514.77,585.36,514.77,564.41,"1,083,230,000","9,805,022,237"
"Sep 26, 2018",444.8,542.53,434.35,515.93,"856,458,000","8,961,941,259"
"Sep 25, 2018",462.11,462.35,428.91,445.23,"414,548,000","7,732,846,562"
"Sep 24, 2018",487.92,490.77,459.59,463.09,"385,322,000","8,042,327,737"
"Sep 23, 2018",487.71,504.14,478.07,488.65,"384,226,000","8,485,324,615"
"Sep 22, 2018",500.35,505.29,468.33,487.83,"412,279,000","8,470,234,975"
"Sep 21, 2018",457.52,506.44,449.38,499.04,"597,228,000","8,663,959,553"
"Sep 20, 2018",429.81,462.07,424.66,455.74,"369,099,000","7,911,447,821"
"Sep 19, 2018",433.19,438.71,414.28,429.23,"337,321,000","7,450,355,941"
"Sep 18, 2018",418.56,443.76,414.54,435.68,"332,161,000","7,561,557,588"
"Sep 17, 2018",450.38,460.49,413.04,420.45,"365,115,000","7,296,518,752"
"Sep 16, 2018",448.51,450.2,431.44,449.16,"277,244,000","7,793,981,526"
"Sep 15, 2018",447.58,458.81,446.41,450.68,"276,833,000","7,819,564,574"
"Sep 14, 2018",467.13,472.75,443.87,449.5,"314,701,000","7,798,253,365"
"Sep 13, 2018",433.54,472.58,433.54,464.44,"393,614,000","8,056,553,806"
"Sep 12, 2018",440.51,440.93,414.47,432.85,"319,094,000","7,507,802,666"
"Sep 11, 2018",468.35,476.13,433.16,440.84,"355,090,000","7,645,555,697"
"Sep 10, 2018",484.22,486.98,463.81,465.59,"300,172,000","8,074,017,699"
"Sep 09, 2018",474.63,493.95,466.3,481.19,"286,768,000","8,343,621,589"
"Sep 08, 2018",501.82,508.96,468.8,475.29,"311,599,000","8,240,449,743"
"Sep 07, 2018",518.77,526,496.14,501.57,"368,854,000","8,695,300,498"
"Sep 06, 2018",529.95,530.25,495.07,519.16,"441,732,000","8,999,244,961"
"Sep 05, 2018",626.2,631.77,530.23,530.51,"520,184,000","9,195,328,778"
"Sep 04, 2018",627.32,643.44,622.72,625.07,"386,332,000","10,832,926,790"
"Sep 03, 2018",648.33,650.69,622.23,626.36,"397,157,000","10,854,338,382"
"Sep 02, 2018",616.03,653.69,601.94,645.88,"570,200,000","11,191,429,186"
"Sep 01, 2018",543.96,628.08,542.26,615.31,"490,619,000","10,660,641,896"
"Aug 31, 2018",538.62,546.76,535.6,543.08,"307,222,000","9,408,059,252"
"Aug 30, 2018",554.07,556.52,527.92,540.03,"337,841,000","9,354,178,044"
"Aug 29, 2018",564.41,567.25,548.47,554.37,"299,414,000","9,601,608,722"
"Aug 28, 2018",545.08,570.98,541.24,565.31,"429,636,000","9,790,089,436"
"Aug 27, 2018",523.02,546.36,520.09,546.36,"305,426,000","9,460,943,184"
"Aug 26, 2018",536.49,536.49,516.58,522.88,"257,257,000","9,053,488,090"
"Aug 25, 2018",534.99,542.03,529.73,537.24,"272,027,000","9,301,131,506"
"Aug 24, 2018",531.55,537.54,522.85,535.41,"304,350,000","9,268,456,188"
"Aug 23, 2018",519.12,532,515.9,530.77,"282,362,000","9,187,213,313"
"Aug 22, 2018",535.15,570.61,512.11,519.95,"319,315,000","8,999,075,739"
"Aug 21, 2018",514.06,540.02,514.06,536.57,"304,026,000","9,285,694,360"
