Date,Open*,High,Low,Close**,Volume,Market Cap
"Jul 22, 2019",30.54,32.11,29.81,30.63,"416,965,642","4,764,802,878"
"Jul 21, 2019",30.92,31.31,29.64,30.52,"285,097,790","4,746,909,287"
"Jul 20, 2019",29.09,31.19,29.07,30.87,"367,891,866","4,801,767,338"
"Jul 19, 2019",28.92,29.78,28.42,29.08,"483,963,124","4,522,757,866"
"Jul 18, 2019",27.26,29.16,26.94,28.92,"711,895,799","4,498,559,027"
"Jul 17, 2019",25.52,27.95,24.9,27.22,"572,389,805","2,971,713,195"
"Jul 16, 2019",28.38,29.3,25.5,25.53,"439,515,318","2,786,705,508"
"Jul 15, 2019",28.93,29.01,27.25,28.39,"384,045,964","3,099,868,490"
"Jul 14, 2019",31.55,31.65,28.85,28.92,"299,523,499","4,083,399,701"
"Jul 13, 2019",31.71,32.39,30.51,31.51,"273,938,894","4,448,006,685"
"Jul 12, 2019",29.65,32.21,29.34,31.69,"417,842,730","4,474,462,557"
"Jul 11, 2019",31.5,31.8,28.91,29.64,"251,161,946","4,184,719,947"
"Jul 10, 2019",32.7,32.97,30.96,31.48,"270,511,687","4,443,834,091"
"Jul 09, 2019",33.47,33.95,32.53,32.71,"210,904,382","4,617,518,454"
"Jul 08, 2019",33.26,34.25,33.1,33.47,"257,698,795","4,725,098,655"
"Jul 07, 2019",32.52,33.49,32.45,33.24,"198,859,381","4,692,823,028"
"Jul 06, 2019",32.71,33.32,32.48,32.53,"187,247,411","4,592,571,450"
"Jul 05, 2019",33,33.64,32.45,32.71,"232,575,484","4,618,296,905"
"Jul 04, 2019",32.69,34.31,32.38,32.89,"348,186,707","4,643,731,176"
"Jul 03, 2019",32.03,33.09,31.8,32.67,"248,895,676","4,611,850,530"
"Jul 02, 2019",32.92,33.46,30.88,32.01,"348,029,977","4,518,919,331"
"Jul 01, 2019",32.44,33.93,31.69,32.92,"290,190,904","4,647,821,414"
"Jun 30, 2019",35.4,35.4,32.44,32.44,"286,632,252","4,580,083,462"
"Jun 29, 2019",34.59,35.53,33.28,35.36,"369,705,514","4,991,980,477"
"Jun 28, 2019",33.87,34.77,33.38,34.55,"337,534,352","4,877,576,207"
"Jun 27, 2019",35.73,35.83,32.76,33.82,"375,392,572","4,775,062,009"
"Jun 26, 2019",36.01,37.73,34.35,35.7,"444,226,052","5,039,726,760"
"Jun 25, 2019",37.39,37.39,35.77,36.01,"293,163,090","5,083,488,020"
"Jun 24, 2019",37.13,37.63,35.94,37.43,"329,001,838","5,284,712,263"
"Jun 23, 2019",37.83,38.34,37.03,37.13,"369,969,675","5,242,513,179"
"Jun 22, 2019",38.81,39.57,37.54,37.8,"428,828,573","5,336,399,154"
"Jun 21, 2019",36.69,38.89,36.34,38.82,"438,604,247","5,479,856,278"
"Jun 20, 2019",35.3,36.99,34.51,36.73,"636,578,809","5,184,819,736"
"Jun 19, 2019",34.36,35.68,34.36,35.29,"509,791,358","4,981,687,236"
"Jun 18, 2019",33.93,35.11,33.88,34.34,"484,975,596","4,847,896,840"
"Jun 17, 2019",32.39,34.2,32.38,33.92,"439,337,220","4,788,373,010"
"Jun 16, 2019",32.83,33.38,32.12,32.4,"389,404,410","4,574,470,640"
"Jun 15, 2019",33.06,33.96,32.37,32.83,"489,033,316","4,634,207,332"
"Jun 14, 2019",35.13,35.27,30.94,33.08,"737,850,145","4,669,574,216"
"Jun 13, 2019",34.6,36,34.35,35.14,"512,885,462","4,961,350,437"
